,Brand,Model,Color,Ram,Storage,Primary camera,Secondary Camera,Display Size,Battery Capicity,Price
0,"Motorola G32 (Mineral Gray, 128 GB)  (8 GB RAM)",G32,Mineral Gray,8 GB,128 GB,50MP + 8MP + 2MP,-,16.51 cm (6.5 inch),5000 mAh,"₹9,999"
1,"Motorola G32 (Satin Silver, 128 GB)  (8 GB RAM)",G32,Satin Silver,8 GB,128 GB,50MP + 8MP + 2MP,-,16.51 cm (6.5 inch),5000 mAh,"₹9,999"
2,"Motorola G32 (Satin Maroon, 128 GB)  (8 GB RAM)",G32,Satin Maroon,8 GB,128 GB,50MP + 8MP + 2MP,-,16.51 cm (6.5 inch),5000 mAh,"₹9,999"
3,"Motorola G32 (Rose Gold, 128 GB)  (8 GB RAM)",G32,Rose Gold,8 GB,128 GB,50MP + 8MP + 2MP,-,16.51 cm (6.5 inch),5000 mAh,"₹9,999"
4,"Motorola G32 (Mineral Gray, 64 GB)  (4 GB RAM)",G32,Mineral Gray,4 GB,64 GB,50MP + 8MP + 2MP,-,16.51 cm (6.5 inch),5000 mAh,"₹10,999"
5,"Motorola G32 (Satin Silver, 64 GB)  (4 GB RAM)",G32,Satin Silver,4 GB,64 GB,50MP + 8MP + 2MP,-,16.51 cm (6.5 inch),5000 mAh,"₹10,999"
6,"Motorola Edge 40 Neo (Soothing Sea, 128 GB)  (8 GB RAM)",Edge 40 Neo,Soothing Sea,8 GB,128 GB,50MP + 13MP,-,16.64 cm (6.55 inch),5000 mAh,"₹22,999"
7,"Motorola Edge 40 Neo (Caneel Bay, 128 GB)  (8 GB RAM)",Edge 40 Neo,Caneel Bay,8 GB,128 GB,50MP + 13MP,-,16.64 cm (6.55 inch),5000 mAh,"₹22,999"
8,"Motorola Edge 40 Neo (Black Beauty, 128 GB)  (8 GB RAM)",Edge 40 Neo,Black Beauty,8 GB,128 GB,50MP + 13MP,-,16.64 cm (6.55 inch),5000 mAh,"₹22,999"
9,"Motorola Edge 40 (Nebula Green, 256 GB)  (8 GB RAM)",Edge 40,Nebula Green,8 GB,256 GB,50MP + 13MP,-,16.51 cm (6.5 inch),71.99 mm,"₹26,999"
10,"Motorola Edge 40 Neo (Peach Fuzz, 128 GB)  (8 GB RAM)",Edge 40 Neo,Peach Fuzz,8 GB,128 GB,50MP + 13MP,-,16.64 cm (6.55 inch),5000 mAh,"₹22,999"
11,"Motorola Edge 40 Neo (Peach Fuzz, 256 GB)  (12 GB RAM)",Edge 40 Neo,Peach Fuzz,12 GB,256 GB,50MP + 13MP,-,16.64 cm (6.55 inch),5000 mAh,"₹24,999"
12,"Motorola Edge 40 (Eclipse Black, 256 GB)  (8 GB RAM)",Edge 40,Eclipse Black,8 GB,256 GB,50MP + 13MP,-,16.51 cm (6.5 inch),71.99 mm,"₹26,999"
13,"Motorola Edge 40 (Viva Magenta, 256 GB)  (8 GB RAM)",Edge 40,Viva Magenta,8 GB,256 GB,50MP + 13MP,-,16.51 cm (6.5 inch),71.99 mm,"₹26,999"
14,"Motorola Edge 40 (Lunar Blue, 256 GB)  (8 GB RAM)",Edge 40,Lunar Blue,8 GB,256 GB,50MP + 13MP,-,16.51 cm (6.5 inch),71.99 mm,"₹26,999"
15,Motorola Moto A10E  (Dark Blue),Moto A10E,Dark Blue,4 MB,32 MB,GSM,-,4.57 cm (1.8 inch),-,"₹1,395"
16,Motorola Moto A10E  (Rose Gold),Moto A10E,Rose Gold,4 MB,32 MB,No,-,4.57 cm (1.8 inch),800 mAh,"₹1,349"
17,"Motorola e32 (Eco Black, 64 GB)  (4 GB RAM)",e32,Eco Black,4 GB,64 GB,50MP + 2MP,-,16.51 cm (6.5 inch),5000 mAh,"₹7,499"
18,"Motorola G60 (Soft Silver, 128 GB)  (6 GB RAM)",G60,Soft Silver,6 GB,128 GB,108MP + 8MP + 2MP,-,17.22 cm (6.78 inch),6000 mAh,"₹14,999"
19,"Motorola Edge 30 Fusion (Cosmic grey, 128 GB)  (8 GB RAM)",Edge 30 Fusion,Cosmic grey,8 GB,128 GB,50MP + 13MP + 2MP,-,16.64 cm (6.55 inch),71.99 mm,"₹34,999"
20,"Motorola edge 30 (Meteor Grey, 128 GB)  (6 GB RAM)",edge 30,Meteor Grey,6 GB,128 GB,50MP + 50MP + 2MP,-,16.64 cm (6.55 inch),1 Year on Handset and 6 Months on Accessories,"₹24,999"
21,"Motorola G60 (Dynamic Gray, 128 GB)  (6 GB RAM)",G60,Dynamic Gray,6 GB,128 GB,108MP + 8MP + 2MP,-,17.27 cm (6.8 inch),6000 mAh,"₹14,999"
22,Motorola A10g  (Teal Blue),A10g,Teal Blue,4 MB,32 MB,No,-,4.57 cm (1.8 inch),800 mAh,"₹1,339"
23,"Motorola G60 (Moonless, 128 GB)  (6 GB RAM)",G60,Moonless,6 GB,128 GB,108MP + 8MP + 2MP,-,17.22 cm (6.78 inch),6000 mAh,"₹15,999"
